part_id,part_name,category,supplier_id,unit_cost,criticality,stock_level,reorder_point,lead_time_days,warehouse_id,depot_id
BG-METER-001,Meter component 001,Meter,S-006,498.61,High,491,92,6,W-GLA,D-MID
BG-VALVE-002,Valve component 002,Valve,S-005,86.27,Critical,370,435,17,W-LON,D-WAL
BG-EV-003,EV component 003,EV,S-005,237.84,Medium,1777,361,12,W-MAN,D-SCO
BG-BOILE-004,Boiler component 004,Boiler,S-004,234.41,Medium,1638,180,3,W-GLA,D-WAL
BG-BOILE-005,Boiler component 005,Boiler,S-003,244.41,Critical,124,228,11,W-COV,D-STH
BG-EV-006,EV component 006,EV,S-014,54.23,Low,955,337,3,W-LON,D-WAL
BG-PIPEW-007,Pipework component 007,Pipework,S-002,172.62,Low,1034,117,3,W-LON,D-LON
BG-EV-008,EV component 008,EV,S-014,183.84,Critical,1041,370,7,W-COV,D-MID
BG-PIPEW-009,Pipework component 009,Pipework,S-004,515.38,High,753,230,11,W-LON,D-SCO
BG-EV-010,EV component 010,EV,S-003,355.6,Critical,1624,363,12,W-COV,D-NTH
BG-BOILE-011,Boiler component 011,Boiler,S-005,355.33,Medium,524,410,6,W-GLA,D-LON
BG-SENSO-012,Sensor component 012,Sensor,S-006,80.41,Medium,643,375,14,W-MAN,D-WAL
BG-PIPEW-013,Pipework component 013,Pipework,S-001,166.51,Low,1325,445,12,W-MAN,D-STH
BG-PIPEW-014,Pipework component 014,Pipework,S-014,492.92,Critical,1331,383,15,W-GLA,D-LON
BG-METER-015,Meter component 015,Meter,S-003,100.29,High,707,432,17,W-MAN,D-MID
BG-VALVE-016,Valve component 016,Valve,S-002,47.51,Critical,1047,434,18,W-COV,D-STH
BG-METER-017,Meter component 017,Meter,S-014,324.43,Low,323,123,7,W-MAN,D-STH
BG-PUMP-018,Pump component 018,Pump,S-001,218.36,High,917,352,11,W-LON,D-MID
BG-SENSO-019,Sensor component 019,Sensor,S-002,166.45,Low,1718,139,13,W-LON,D-SCO
BG-EV-020,EV component 020,EV,S-003,406.4,Low,339,458,8,W-MAN,D-NTH
BG-BOILE-021,Boiler component 021,Boiler,S-006,254.06,Medium,1143,92,18,W-COV,D-NTH
BG-BOILE-022,Boiler component 022,Boiler,S-014,90.08,Low,1059,115,15,W-COV,D-MID
BG-EV-023,EV component 023,EV,S-004,460.93,Critical,857,67,14,W-GLA,D-MID
BG-PUMP-024,Pump component 024,Pump,S-001,199.96,Critical,660,90,12,W-MAN,D-MID
BG-BOILE-025,Boiler component 025,Boiler,S-003,477.71,Low,1433,111,17,W-LON,D-WAL
BG-BOILE-026,Boiler component 026,Boiler,S-001,17.73,High,1718,116,18,W-LON,D-LON
BG-EV-027,EV component 027,EV,S-003,129.67,Critical,105,162,15,W-LON,D-LON
BG-BOILE-028,Boiler component 028,Boiler,S-014,471.44,Critical,1302,303,9,W-MAN,D-NTH
BG-PUMP-029,Pump component 029,Pump,S-001,322.78,High,1176,253,7,W-COV,D-WAL
BG-METER-030,Meter component 030,Meter,S-001,496.14,Critical,807,280,3,W-LON,D-NTH
BG-METER-031,Meter component 031,Meter,S-006,16.32,Critical,714,163,5,W-GLA,D-MID
BG-BOILE-032,Boiler component 032,Boiler,S-003,287.56,High,1708,438,16,W-LON,D-STH
BG-VALVE-033,Valve component 033,Valve,S-014,77.04,Low,83,190,8,W-COV,D-MID
BG-BOILE-034,Boiler component 034,Boiler,S-003,485.89,Low,1677,318,17,W-GLA,D-LON
BG-EV-035,EV component 035,EV,S-006,105.84,Medium,1773,439,3,W-GLA,D-NTH
BG-BOILE-036,Boiler component 036,Boiler,S-014,196.43,Low,1530,265,14,W-GLA,D-MID
BG-PUMP-037,Pump component 037,Pump,S-006,262.73,Medium,1648,82,15,W-COV,D-SCO
BG-SENSO-038,Sensor component 038,Sensor,S-014,100.39,Medium,665,92,4,W-GLA,D-STH
BG-METER-039,Meter component 039,Meter,S-003,236.31,Low,349,393,16,W-GLA,D-SCO
BG-BOILE-040,Boiler component 040,Boiler,S-006,453.46,Medium,1267,262,10,W-COV,D-LON
BG-PIPEW-041,Pipework component 041,Pipework,S-006,215.98,High,71,113,16,W-COV,D-MID
BG-BOILE-042,Boiler component 042,Boiler,S-002,406.6,Medium,749,236,3,W-MAN,D-STH
BG-PUMP-043,Pump component 043,Pump,S-003,198.47,Critical,1183,110,18,W-GLA,D-SCO
BG-METER-044,Meter component 044,Meter,S-006,150.69,Critical,61,416,7,W-LON,D-WAL
BG-PUMP-045,Pump component 045,Pump,S-005,68.29,Medium,1449,268,8,W-GLA,D-STH
BG-PUMP-046,Pump component 046,Pump,S-002,70.79,Critical,933,128,16,W-COV,D-STH
BG-EV-047,EV component 047,EV,S-003,349.93,Critical,1134,317,11,W-GLA,D-MID
BG-PIPEW-048,Pipework component 048,Pipework,S-006,482.79,High,1633,225,18,W-MAN,D-LON
BG-VALVE-049,Valve component 049,Valve,S-014,79.1,Low,61,224,13,W-LON,D-WAL
BG-VALVE-050,Valve component 050,Valve,S-005,460.73,Critical,641,243,17,W-LON,D-SCO
BG-EV-051,EV component 051,EV,S-005,45.76,Medium,1323,77,16,W-LON,D-STH
BG-SENSO-052,Sensor component 052,Sensor,S-003,73.71,High,1580,106,15,W-COV,D-LON
BG-SENSO-053,Sensor component 053,Sensor,S-002,163.71,High,668,403,9,W-GLA,D-WAL
BG-METER-054,Meter component 054,Meter,S-014,48.38,High,1308,322,10,W-MAN,D-STH
BG-METER-055,Meter component 055,Meter,S-005,281.14,High,1220,337,6,W-MAN,D-STH
BG-SENSO-056,Sensor component 056,Sensor,S-006,469.82,Medium,1733,328,3,W-COV,D-LON
BG-BOILE-057,Boiler component 057,Boiler,S-006,402.76,Medium,1341,147,15,W-COV,D-SCO
BG-PIPEW-058,Pipework component 058,Pipework,S-005,156.31,Medium,997,165,14,W-GLA,D-SCO
BG-BOILE-059,Boiler component 059,Boiler,S-006,38.68,Low,859,287,16,W-MAN,D-NTH
BG-SENSO-060,Sensor component 060,Sensor,S-002,168.04,Medium,1511,216,14,W-MAN,D-NTH
BG-SENSO-061,Sensor component 061,Sensor,S-005,62.37,High,963,102,10,W-LON,D-MID
BG-VALVE-062,Valve component 062,Valve,S-001,33.91,Low,1777,355,15,W-MAN,D-MID
BG-EV-063,EV component 063,EV,S-003,486.08,Medium,396,430,7,W-LON,D-WAL
BG-PUMP-064,Pump component 064,Pump,S-004,458.09,Low,55,86,14,W-LON,D-MID
BG-VALVE-065,Valve component 065,Valve,S-005,188.68,Critical,584,293,17,W-GLA,D-WAL
BG-BOILE-066,Boiler component 066,Boiler,S-014,63.04,High,549,412,13,W-LON,D-NTH
BG-BOILE-067,Boiler component 067,Boiler,S-004,34.19,High,750,323,11,W-COV,D-SCO
BG-SENSO-068,Sensor component 068,Sensor,S-004,399.37,Medium,1698,359,5,W-MAN,D-LON
BG-PUMP-069,Pump component 069,Pump,S-003,414.99,Medium,1150,227,6,W-MAN,D-WAL
BG-SENSO-070,Sensor component 070,Sensor,S-004,264.04,Critical,87,110,12,W-LON,D-WAL
BG-PUMP-071,Pump component 071,Pump,S-002,318.41,High,679,353,12,W-MAN,D-SCO
BG-SENSO-072,Sensor component 072,Sensor,S-006,439.41,Medium,1046,300,17,W-GLA,D-SCO
BG-EV-073,EV component 073,EV,S-001,196.6,Critical,861,338,11,W-COV,D-WAL
BG-PUMP-074,Pump component 074,Pump,S-003,503.14,High,1485,66,17,W-MAN,D-WAL
BG-PIPEW-075,Pipework component 075,Pipework,S-006,325.3,Low,310,460,9,W-COV,D-WAL
BG-PIPEW-076,Pipework component 076,Pipework,S-001,105.68,Low,650,254,6,W-LON,D-STH
BG-VALVE-077,Valve component 077,Valve,S-004,264.93,Low,1795,416,3,W-MAN,D-WAL
BG-VALVE-078,Valve component 078,Valve,S-005,174.43,Low,1084,232,12,W-MAN,D-SCO
BG-SENSO-079,Sensor component 079,Sensor,S-003,287.69,Medium,1257,287,8,W-MAN,D-NTH
BG-SENSO-080,Sensor component 080,Sensor,S-003,123.13,Medium,1587,187,8,W-LON,D-NTH
BG-PUMP-081,Pump component 081,Pump,S-003,294.97,Medium,597,102,14,W-LON,D-NTH
BG-EV-082,EV component 082,EV,S-014,83.0,Critical,597,405,4,W-GLA,D-SCO
BG-PIPEW-083,Pipework component 083,Pipework,S-003,390.64,High,421,315,10,W-GLA,D-MID
BG-BOILE-084,Boiler component 084,Boiler,S-005,387.34,High,504,65,18,W-MAN,D-STH
BG-VALVE-085,Valve component 085,Valve,S-001,59.3,Medium,1477,281,5,W-MAN,D-LON
BG-SENSO-086,Sensor component 086,Sensor,S-002,216.34,Low,985,373,8,W-GLA,D-NTH
BG-METER-087,Meter component 087,Meter,S-006,38.29,Critical,1343,333,9,W-COV,D-MID
BG-PUMP-088,Pump component 088,Pump,S-014,98.0,Critical,1720,243,17,W-MAN,D-STH
BG-EV-089,EV component 089,EV,S-003,456.89,Critical,619,330,5,W-GLA,D-NTH
BG-PUMP-090,Pump component 090,Pump,S-006,286.17,Low,282,298,16,W-GLA,D-MID
